layer, center, hexagon,,,,,,, binCount, mdtCount, population
2,POINT (105.85618845878217 21.02145984333982),POLYGON ((105.85730095815492 21.02325848045878, 105.85841343068483 21.02145982887415, 105.85730093131325 21.01966119898802, 105.8550759862511 21.01966119898802, 105.85396348687951 21.02145982887415, 105.85507595940942 21.02325848045878, 105.85730095815492 21.02325848045878)),2,2,27.03
2,POINT (105.84617544071335 21.034050230791085),POLYGON ((105.84728803407602 21.035848867907678, 105.84840060057594 21.03405021631593, 105.84728800721444 21.032251586436917, 105.84506287421226 21.032251586436917, 105.84395028085076 21.03405021631593, 105.84506284735069 21.035848867907678, 105.84728803407602 21.035848867907678)),6,7,319.8437642
2,POINT (105.85618785459702 21.028654601630894),POLYGON ((105.85730040767163 21.0304532387485, 105.85841293389204 21.028654587159803, 105.85730038081859 21.026855957277736, 105.85507532837542 21.026855957277736, 105.85396277530197 21.028654587159803, 105.85507530152238 21.0304532387485, 105.85730040767163 21.0304532387485)),1,1,0.117647059
2,POINT (105.85285104118938 21.034050295942006),POLYGON ((105.85396363455251 21.0358489330586, 105.85507620105292 21.034050281466854, 105.85396360769096 21.032251651587842, 105.85173847468779 21.032251651587842, 105.85062588132583 21.034050281466854, 105.85173844782624 21.0358489330586, 105.85396363455251 21.0358489330586)),4,6,258.2548349
2,POINT (105.85285104118937 21.030453014470968),POLYGON ((105.85396360769096 21.032251651588236, 105.85507614733548 21.03045299999852, 105.85396358083506 21.028654370117472, 105.8517385015437 21.028654370117472, 105.85062593504327 21.03045299999852, 105.85173847468779 21.032251651588236, 105.85396360769096 21.032251651588236)),2,7,80.22125
2,POINT (105.85618785459701 21.035849164572987),POLYGON ((105.85730046139476 21.037647801689236, 105.85841304132695 21.03584915009647, 105.85730043453036 21.03405052021848, 105.85507527466365 21.03405052021848, 105.85396266786705 21.03584915009647, 105.85507524779925 21.037647801689236, 105.85730046139476 21.037647801689236)),1,1,102.527027
2,POINT (105.85285104118937 21.01966117005782),POLYGON ((105.85396352714034 21.021459807177134, 105.8550759862513 21.019661155593518, 105.85396350030149 21.017862525706366, 105.85173858207725 21.017862525706366, 105.85062609612746 21.019661155593518, 105.85173855523841 21.021459807177134, 105.85396352714034 21.021459807177134)),0,null,null
2,POINT (105.85285104118937 21.037647577413058),POLYGON ((105.85396366141977 21.03944621452897, 105.85507625478175 21.037647562935184, 105.85396363455251 21.035848933058208, 105.85173844782624 21.035848933058208, 105.85062582759699 21.037647562935184, 105.85173842095898 21.03944621452897, 105.85396366141977 21.03944621452897)),4,5,255.7294194
2,POINT (105.8628633744985 21.032251817957132),POLYGON ((105.8639759544314 21.03405045507406, 105.86508850750437 21.032251803483327, 105.86397592757267 21.030453173603295, 105.86175082142438 21.030453173603295, 105.86063824149268 21.032251803483327, 105.86175079456565 21.03405045507406, 105.8639759544314 21.03405045507406)),0,null,null
2,POINT (105.84617572262631 21.030452884205747),POLYGON ((105.84728828912692 21.032251521323012, 105.84840082877048 21.0304528697333, 105.84728826227104 21.02865423985225, 105.8450631829816 21.02865423985225, 105.84395061648216 21.0304528697333, 105.84506315612572 21.032251521323012, 105.84728828912692 21.032251521323012)),1,1,35.25061903
